Link,Nome do Repositório,Região
"http://rbrd.ibict.br/repositorios-de-publicacao/","Repositório's de publicações","Região não definida"
"http://rbrd.ibict.br/repositorio-de-dados/","Repositórios de dados","Região não definida"
"http://repositorio.cfb.org.br/","Repositório Institucional da CFB","Região não definida"
"http://repositorio.enap.gov.br/","Repositório Institucional da ENAP","Região não definida"
"https://repositorio.ipea.gov.br/","Repositório Institucional da IPEA (RCIpea)","Região não definida"
"https://repositorio.ucb.br:9443/jspui/","Repositório Institucional da UCB","Região não definida"
"https://repositorio.bc.ufg.br/home","Repositório Institucional da UFG","Região não definida"
"https://repositorio.ufms.br/","Repositório Institucional da UFMS","Região não definida"
"https://repositorio.ibict.br/","Repositório Institucional do IBICT","Região não definida"
"https://repositorio.uniceub.br/jspui/","Repositório Institucional do UniCEUB","Região não definida"
"http://repositorio.bc.ufg.br/","Biblioteca Digital de Teses e Dissertações da UFG","Região não definida"
"https://portal.ufgd.edu.br/setor/biblioteca/repositorio","Biblioteca Digital de Teses e Dissertações da UFGD","Região não definida"
"https://repositorio.idp.edu.br/","Repositório Institucional do IDP","Região não definida"
"https://repositoriopesquisas.ibict.br/","Rede Brasileira de Serviços de Preservação Digital Cariniana – Ibict Dataverse","Região não definida"
"http://repositoriosenaiba.fieb.org.br/","Repositório da Produção Científica e Intelectual do SENAI CIMATEC","Região não definida"
"https://repositorio.bahiana.edu.br:8443/jspui/","Repositório Institucional da Escola Bahiana de Medicina e Saúde Pública","Região não definida"
"http://www.repositorio.ifba.edu.br/jspui/","Repositório Institucional da IFBA","Região não definida"
"https://repositorio.ufba.br/","Repositório Institucional da UFBA","Região não definida"
"https://repositorio.ufma.br/jspui/","Repositório Institucional da UFMA","Região não definida"
"https://repositorio.ufpb.br/?locale=pt_BR","Repositório Institucional da UFPB","Região não definida"
"https://repositorio.ufpe.br/","Repositório Institucional da UFPE","Região não definida"
"https://repositorio.ufrb.edu.br/","Repositório Institucional da UFRB","Região não definida"
"https://repositorio.ufrn.br/","Repositório Institucional da UFRN","Região não definida"
